INSERT INTO catcafe.dbo.CafePurchases VALUES(1, 'Iced White Chocolate Frappucinno', 1002, 100, '2023-03-10', 0.0775, 3.77)
INSERT INTO catcafe.dbo.CafePurchases VALUES(2, 'Parfait', 1066, 240, '2022-10-09', 0.0775, 5.39)
INSERT INTO catcafe.dbo.CafePurchases VALUES(3, 'Whipped Brown Sugar Cream Fruit Dip', 1091, 100, '2022-06-28', 0.0775, 4.85)
INSERT INTO catcafe.dbo.CafePurchases VALUES(4, 'Peppermint Macchiato', 1143, 100, '2022-06-22', 0.0775, 3.77)
INSERT INTO catcafe.dbo.CafePurchases VALUES(5, 'Whipped Brown Sugar Cream Fruit Dip', 1060, 120, '2022-11-15', 0.0775, 4.85)
INSERT INTO catcafe.dbo.CafePurchases VALUES(6, 'Regular Coffee', 1105, 240, '2023-01-13', 0.0775, 2.69)
INSERT INTO catcafe.dbo.CafePurchases VALUES(7, 'Irish Cream Espresso', 1072, 150, '2023-02-26', 0.0775, 3.77)
INSERT INTO catcafe.dbo.CafePurchases VALUES(8, 'Whipped Brown Sugar Cream Fruit Dip', 1063, 150, '2023-03-25', 0.0775, 4.85)
INSERT INTO catcafe.dbo.CafePurchases VALUES(9, 'Regular Coffee', 1070, 150, '2022-09-12', 0.0775, 2.69)
INSERT INTO catcafe.dbo.CafePurchases VALUES(10, 'Dark Chocolate Macchiato', 1097, 230, '2022-10-20', 0.0775, 3.77)
INSERT INTO catcafe.dbo.CafePurchases VALUES(11, 'Whipped Brown Sugar Cream Fruit Dip', 1070, 110, '2023-03-28', 0.0775, 4.85)
INSERT INTO catcafe.dbo.CafePurchases VALUES(12, 'Iced White Chocolate Frappucinno', 1021, 240, '2023-03-10', 0.0775, 3.77)
INSERT INTO catcafe.dbo.CafePurchases VALUES(13, 'Sausage Kale Egg Scramble', 1020, 100, '2022-12-03', 0.0775, 6.46)
INSERT INTO catcafe.dbo.CafePurchases VALUES(14, 'Whipped Brown Sugar Cream Fruit Dip', 1105, 150, '2023-01-24', 0.0775, 4.85)
INSERT INTO catcafe.dbo.CafePurchases VALUES(15, 'Caramel Almond Milk Steamer', 1055, 150, '2022-10-15', 0.0775, 3.77)
INSERT INTO catcafe.dbo.CafePurchases VALUES(16, 'Spinach Salad', 1040, 230, '2022-12-29', 0.0775, 3.23)
INSERT INTO catcafe.dbo.CafePurchases VALUES(17, 'Sausage Kale Egg Scramble', 1032, 150, '2022-07-20', 0.0775, 6.46)
INSERT INTO catcafe.dbo.CafePurchases VALUES(18, 'Caramel Almond Milk Steamer', 1149, 240, '2023-01-29', 0.0775, 3.77)
INSERT INTO catcafe.dbo.CafePurchases VALUES(19, 'Cream Cheese and Strawberry Bagel', 1035, 110, '2022-06-06', 0.0775, 3.23)
INSERT INTO catcafe.dbo.CafePurchases VALUES(20, 'Regular Macchiato', 1140, 230, '2022-06-20', 0.0775, 3.23)
INSERT INTO catcafe.dbo.CafePurchases VALUES(21, 'Regular Espresso', 1130, 130, '2022-09-25', 0.0775, 3.23)
INSERT INTO catcafe.dbo.CafePurchases VALUES(22, 'Spinach Salad', 1081, 220, '2023-02-08', 0.0775, 3.23)
INSERT INTO catcafe.dbo.CafePurchases VALUES(23, 'Chocolate Hazelnut Iced Coffee', 1061, 120, '2022-12-29', 0.0775, 3.77)
INSERT INTO catcafe.dbo.CafePurchases VALUES(24, 'Regular Espresso', 1098, 220, '2022-09-06', 0.0775, 3.23)
INSERT INTO catcafe.dbo.CafePurchases VALUES(25, 'Parfait', 1076, 110, '2022-12-08', 0.0775, 5.39)
INSERT INTO catcafe.dbo.CafePurchases VALUES(26, 'Breakfast Smoothie', 1079, 100, '2022-07-31', 0.0775, 5.39)
INSERT INTO catcafe.dbo.CafePurchases VALUES(27, 'Regular Macchiato', 1089, 100, '2023-01-14', 0.0775, 3.23)
INSERT INTO catcafe.dbo.CafePurchases VALUES(28, 'Chocolate Hazelnut Iced Coffee', 1033, 230, '2023-01-24', 0.0775, 3.77)
INSERT INTO catcafe.dbo.CafePurchases VALUES(29, 'Breakfast Smoothie', 1129, 120, '2022-12-15', 0.0775, 5.39)
INSERT INTO catcafe.dbo.CafePurchases VALUES(30, 'Hazelnut Soy Milk Latte', 1060, 130, '2022-10-20', 0.0775, 3.77)
INSERT INTO catcafe.dbo.CafePurchases VALUES(31, 'Breakfast Smoothie', 1031, 110, '2022-12-10', 0.0775, 5.39)
INSERT INTO catcafe.dbo.CafePurchases VALUES(32, 'Iced White Chocolate Frappucinno', 1071, 130, '2022-06-27', 0.0775, 3.77)
INSERT INTO catcafe.dbo.CafePurchases VALUES(33, 'Regular Espresso', 1014, 150, '2022-08-12', 0.0775, 3.23)
INSERT INTO catcafe.dbo.CafePurchases VALUES(34, 'Caramel Almond Milk Steamer', 1089, 130, '2022-08-18', 0.0775, 3.77)
INSERT INTO catcafe.dbo.CafePurchases VALUES(35, 'Candied Bacon', 1109, 120, '2022-08-11', 0.0775, 3.23)
INSERT INTO catcafe.dbo.CafePurchases VALUES(36, 'Regular Coffee', 1013, 100, '2022-05-20', 0.0775, 2.69)
INSERT INTO catcafe.dbo.CafePurchases VALUES(37, 'Regular Macchiato', 1039, 100, '2022-09-12', 0.0775, 3.23)
INSERT INTO catcafe.dbo.CafePurchases VALUES(38, 'Regular Macchiato', 1049, 220, '2023-01-14', 0.0775, 3.23)
INSERT INTO catcafe.dbo.CafePurchases VALUES(39, 'Spinach Salad', 1133, 120, '2022-07-20', 0.0775, 3.23)
INSERT INTO catcafe.dbo.CafePurchases VALUES(40, 'Regular Macchiato', 1101, 230, '2022-09-23', 0.0775, 3.23)
INSERT INTO catcafe.dbo.CafePurchases VALUES(41, 'Iced White Chocolate Frappucinno', 1023, 130, '2023-01-06', 0.0775, 3.77)
INSERT INTO catcafe.dbo.CafePurchases VALUES(42, 'Dark Chocolate Macchiato', 1037, 230, '2022-10-08', 0.0775, 3.77)
INSERT INTO catcafe.dbo.CafePurchases VALUES(43, 'Regular Macchiato', 1069, 130, '2022-09-12', 0.0775, 3.23)
INSERT INTO catcafe.dbo.CafePurchases VALUES(44, 'Chocolate Hazelnut Iced Coffee', 1071, 130, '2023-03-15', 0.0775, 3.77)
INSERT INTO catcafe.dbo.CafePurchases VALUES(45, 'Orange Juice', 1134, 150, '2022-07-30', 0.0775, 2.69)
INSERT INTO catcafe.dbo.CafePurchases VALUES(46, 'Hazelnut Soy Milk Latte', 1122, 110, '2022-10-19', 0.0775, 3.77)
INSERT INTO catcafe.dbo.CafePurchases VALUES(47, 'Peppermint Macchiato', 1085, 120, '2023-03-06', 0.0775, 3.77)
INSERT INTO catcafe.dbo.CafePurchases VALUES(48, 'Hazelnut Soy Milk Latte', 1021, 100, '2023-02-06', 0.0775, 3.77)
INSERT INTO catcafe.dbo.CafePurchases VALUES(49, 'Dark Chocolate Macchiato', 1053, 120, '2023-02-15', 0.0775, 3.77)
INSERT INTO catcafe.dbo.CafePurchases VALUES(50, 'Apple Juice', 1147, 100, '2022-10-19', 0.0775, 2.69)
INSERT INTO catcafe.dbo.CafePurchases VALUES(51, 'Peppermint Macchiato', 1134, 150, '2022-12-26', 0.0775, 3.77)
INSERT INTO catcafe.dbo.CafePurchases VALUES(52, 'Regular Coffee', 1007, 230, '2022-11-22', 0.0775, 2.69)
INSERT INTO catcafe.dbo.CafePurchases VALUES(53, 'Caramel Almond Milk Steamer', 1140, 150, '2023-03-28', 0.0775, 3.77)
INSERT INTO catcafe.dbo.CafePurchases VALUES(54, 'Bacon Cheese Bagel Sandwhich', 1044, 110, '2022-06-20', 0.0775, 6.46)
INSERT INTO catcafe.dbo.CafePurchases VALUES(55, 'Breakfast Smoothie', 1120, 100, '2023-01-24', 0.0775, 5.39)
INSERT INTO catcafe.dbo.CafePurchases VALUES(56, 'Orange Juice', 1021, 130, '2022-12-03', 0.0775, 2.69)
INSERT INTO catcafe.dbo.CafePurchases VALUES(57, 'Candied Bacon', 1026, 150, '2022-05-20', 0.0775, 3.23)
INSERT INTO catcafe.dbo.CafePurchases VALUES(58, 'Chocolate Hazelnut Iced Coffee', 1066, 130, '2023-02-06', 0.0775, 3.77)
INSERT INTO catcafe.dbo.CafePurchases VALUES(59, 'Orange Juice', 1076, 100, '2022-12-09', 0.0775, 2.69)
INSERT INTO catcafe.dbo.CafePurchases VALUES(60, 'Dark Chocolate Macchiato', 1106, 240, '2022-10-15', 0.0775, 3.77)
INSERT INTO catcafe.dbo.CafePurchases VALUES(61, 'Regular Espresso', 1122, 230, '2022-07-30', 0.0775, 3.23)
INSERT INTO catcafe.dbo.CafePurchases VALUES(62, 'Whipped Brown Sugar Cream Fruit Dip', 1086, 130, '2023-03-28', 0.0775, 4.85)
INSERT INTO catcafe.dbo.CafePurchases VALUES(63, 'Bacon Cheese Bagel Sandwhich', 1129, 230, '2022-08-04', 0.0775, 6.46)
INSERT INTO catcafe.dbo.CafePurchases VALUES(64, 'Chocolate Hazelnut Iced Coffee', 1139, 110, '2022-11-17', 0.0775, 3.77)
INSERT INTO catcafe.dbo.CafePurchases VALUES(65, 'Regular Macchiato', 1120, 110, '2022-09-12', 0.0775, 3.23)
INSERT INTO catcafe.dbo.CafePurchases VALUES(66, 'Cream Cheese and Strawberry Bagel', 1087, 240, '2022-11-22', 0.0775, 3.23)
INSERT INTO catcafe.dbo.CafePurchases VALUES(67, 'Regular Macchiato', 1109, 230, '2022-05-21', 0.0775, 3.23)
INSERT INTO catcafe.dbo.CafePurchases VALUES(68, 'Apple Juice', 1048, 100, '2023-03-12', 0.0775, 2.69)
INSERT INTO catcafe.dbo.CafePurchases VALUES(69, 'Regular Espresso', 1098, 230, '2022-07-30', 0.0775, 3.23)
INSERT INTO catcafe.dbo.CafePurchases VALUES(70, 'Breakfast Smoothie', 1009, 150, '2023-01-13', 0.0775, 5.39)
INSERT INTO catcafe.dbo.CafePurchases VALUES(71, 'Apple Juice', 1135, 240, '2022-09-24', 0.0775, 2.69)
INSERT INTO catcafe.dbo.CafePurchases VALUES(72, 'Apple Juice', 1116, 120, '2022-12-26', 0.0775, 2.69)
INSERT INTO catcafe.dbo.CafePurchases VALUES(73, 'Dark Chocolate Macchiato', 1012, 130, '2022-08-08', 0.0775, 3.77)
INSERT INTO catcafe.dbo.CafePurchases VALUES(74, 'Dark Chocolate Macchiato', 1149, 120, '2023-03-23', 0.0775, 3.77)
INSERT INTO catcafe.dbo.CafePurchases VALUES(75, 'Peppermint Macchiato', 1149, 130, '2022-07-07', 0.0775, 3.77)
INSERT INTO catcafe.dbo.CafePurchases VALUES(76, 'Regular Espresso', 1106, 110, '2023-02-12', 0.0775, 3.23)
INSERT INTO catcafe.dbo.CafePurchases VALUES(77, 'Candied Bacon', 1017, 110, '2023-03-02', 0.0775, 3.23)
INSERT INTO catcafe.dbo.CafePurchases VALUES(78, 'Sausage Kale Egg Scramble', 1000, 110, '2022-11-17', 0.0775, 6.46)
INSERT INTO catcafe.dbo.CafePurchases VALUES(79, 'Apple Juice', 1095, 230, '2022-09-24', 0.0775, 2.69)
INSERT INTO catcafe.dbo.CafePurchases VALUES(80, 'Cream Cheese and Strawberry Bagel', 1015, 100, '2022-08-08', 0.0775, 3.23)
INSERT INTO catcafe.dbo.CafePurchases VALUES(81, 'Apple Juice', 1006, 120, '2023-03-02', 0.0775, 2.69)
INSERT INTO catcafe.dbo.CafePurchases VALUES(82, 'Apple Juice', 1136, 240, '2022-12-03', 0.0775, 2.69)
INSERT INTO catcafe.dbo.CafePurchases VALUES(83, 'Candied Bacon', 1079, 100, '2022-06-05', 0.0775, 3.23)
INSERT INTO catcafe.dbo.CafePurchases VALUES(84, 'Cream Cheese and Strawberry Bagel', 1118, 100, '2022-10-20', 0.0775, 3.23)
INSERT INTO catcafe.dbo.CafePurchases VALUES(85, 'Peppermint Macchiato', 1014, 120, '2023-02-27', 0.0775, 3.77)
INSERT INTO catcafe.dbo.CafePurchases VALUES(86, 'Breakfast Smoothie', 1145, 130, '2022-05-18', 0.0775, 5.39)
INSERT INTO catcafe.dbo.CafePurchases VALUES(87, 'Candied Bacon', 1141, 150, '2023-03-08', 0.0775, 3.23)
INSERT INTO catcafe.dbo.CafePurchases VALUES(88, 'Apple Juice', 1121, 220, '2023-02-06', 0.0775, 2.69)
INSERT INTO catcafe.dbo.CafePurchases VALUES(89, 'Orange Juice', 1138, 230, '2022-06-20', 0.0775, 2.69)
INSERT INTO catcafe.dbo.CafePurchases VALUES(90, 'Bacon Cheese Bagel Sandwhich', 1110, 120, '2022-07-07', 0.0775, 6.46)
INSERT INTO catcafe.dbo.CafePurchases VALUES(91, 'Hazelnut Soy Milk Latte', 1038, 110, '2023-03-02', 0.0775, 3.77)
INSERT INTO catcafe.dbo.CafePurchases VALUES(92, 'Sausage Kale Egg Scramble', 1029, 130, '2022-05-21', 0.0775, 6.46)
INSERT INTO catcafe.dbo.CafePurchases VALUES(93, 'Parfait', 1035, 130, '2022-12-15', 0.0775, 5.39)
